Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Kyle Korver\korveky01,CLE,7000000,7560000,7500000,,,,Bird Rights,18000000
Jeremy Lamb\lambje01,CHO,7000000,7488372,,,,,Rookie scale extension,14488372
Boban Marjanovic\marjabo01,DET,7000000,7000000,,,,,Cap Space,14000000
Lou Williams\willilo02,LAC,7000000,,,,,,Cap Space,7000000
Jae Crowder\crowdja01,BOS,6796117,7305825,7815533,,,,Bird Rights,21917475
Jabari Parker\parkeja01,MIL,6782392,,,,,,1st Round Pick,6782392
Langston Galloway\gallola01,DET,6666667,7000000,7333333,,,,MLE,21000000
Lance Thomas\thomala01,NYK,6655325,7119650,7583975,,,,Cap Space,13774975
Marco Belinelli\belinma01,ATL,6606060,,,,,,Cap Space,6606060
Andrew Nicholson\nichoan01,POR,6362998,6637002,6911007,,,,Cap Space,13000000
Ed Davis\davised01,POR,6352531,,,,,,Cap Space,6352531
Jonathon Simmons\simmojo02,ORL,6300000,6000000,5700000,,,,Cap space,13300000
Lonzo Ball\balllo01,LAL,6286560,7461960,8719320,11003782,,,1st Round Pick,13748520
Wayne Ellington\ellinwa01,MIA,6270000,,,,,,Cap Space,6270000
Isaiah Thomas\thomais02,BOS,6261395,,,,,,,6261395
Karl-Anthony Towns\townska01,MIN,6216840,7839435,,,,,1st round pick,6216840
Ben Simmons\simmobe01,PHI,6168840,6434520,8113930,,,,1st Round pick,6168840
Joel Embiid\embiijo01,PHI,6100266,,,,,,1st Round Pick,6100266
Spencer Hawes\hawessp01,MIL,6021175,,,,,,MLE,6021175
Josh McRoberts\mcrobjo01,DAL,6021175,,,,,,MLE,6021175
Ish Smith\smithis01,DET,6000000,6000000,,,,,Cap Space,12000000
Milos Teodosic\teodomi01,LAC,6000000,6300000,,,,,Cap space,6000000
Dewayne Dedmon\dedmode01,ATL,6000000,6300000,,,,,Cap space,6000000
Ersan Ilyasova\ilyaser01,ATL,6000000,,,,,,Cap space,6000000
Brandan Wright\wrighbr03,MEM,5955760,,,,,,MLE,5955760
Tyler Johnson\johnsty01,MIA,5881260,19245370,19245370,,,,Cap Space,25126630
Wesley Johnson\johnswe01,LAC,5881260,6134000,,,,,Cap Space,5881260
Alex Abrines\abrinal01,OKC,5725000,5455236,,,,,Cap Space,11180236
Jayson Tatum\tatumja01,BOS,5645400,6700800,7830000,9897120,,,1st Round Pick,12346200
D'Angelo Russell\russeda01,BRK,5562360,7019698,,,,,1st round pick,5562360
Brandon Ingram\ingrabr01,LAL,5519400,5757120,7265485,,,,1st Round pick,5519400
Patrick Beverley\beverpa01,LAC,5513514,5027028,,,,,Bird Rights,5513514
Aaron Gordon\gordoaa01,ORL,5504420,,,,,,1st Round Pick,5504420
Deron Williams\willide01,BRK,5500000,5500000,5500000,,,,,16500000
Josh Smith\smithjo03,DET,5400000,5400000,5400000,,,,,16200000
Alan Williams\willial03,PHO,5246914,5666667,6086420,,,,Cap space,5246914
Jason Smith\smithja02,WAS,5225000,5450000,,,,,Cap Space,5225000
Ben McLemore\mclembe01,MEM,5200000,5460000,,,,,MLE,10660000
Patrick Patterson\pattepa01,OKC,5192000,5451600,5711200,,,,MLE,10643600
Nick Young\youngni01,GSW,5192000,,,,,,,5192000
Josh Jackson\jacksjo02,PHO,5090040,6041520,7059480,8930242,,,1st Round Pick,11131560
Marcus Morris\morrima03,BOS,5000000,5375000,,,,,Bird Rights,10375000
Dirk Nowitzki\nowitdi01,DAL,5000000,5000000,,,,,Cap space,5000000
Mike Muscala\muscami01,ATL,5000000,5000000,,,,,Cap space,5000000
Jahlil Okafor\okafoja01,PHI,4995120,6313832,,,,,1st round pick,4995120
Dante Exum\exumda01,UTA,4992385,,,,,,1st Round Pick,4992385
Alexis Ajinca\ajincal01,NOP,4961798,5285394,,,,,Early Bird Rights,10247192
Jaylen Brown\brownja02,BOS,4956480,5169960,6534829,,,,1st Rd pick,4956480
Jameer Nelson\nelsoja01,DEN,4736050,,,,,,Cap Space,4736050
Kyle Singler\singlky01,OKC,4666500,4996000,5333500,,,,Bird Rights,9662500
Justin Holiday\holidju01,CHI,4615385,4384616,,,,,Cap space,9000001
De'Aaron Fox\foxde01,SAC,4609200,5407920,6392760,8099627,,,1st Round Pick,10017120
Marcus Smart\smartma01,BOS,4538020,,,,,,1st Round Pick,4538020
Kristaps Porzingis\porzikr01,NYK,4503600,5697054,,,,,1st round pick,4503600
Dragan Bender\bendedr01,PHO,4468800,4661280,5896519,,,,1st Round pick,4468800
Devin Harris\harride01,DAL,4402546,,,,,,Cap Space,1339662
Jamal Crawford\crawfja01,MIN,4328000,,,,,,,4328000
Aron Baynes\baynear01,BOS,4328000,,,,,,Room Exception,4328000
Lavoy Allen\allenla01,IND,4300000,,,,,,,
Jonathan Isaac\isaacjo01,ORL,4186320,4969080,5806440,7362566,,,1st Round Pick,9155400
Lance Stephenson\stephla01,IND,4180000,4360000,,,,,Cap space,4180000
Julius Randle\randlju01,LAL,4149242,,,,,,1st Round Pick,4149242
Kyle O'Quinn\oquinky01,NYK,4087500,4256250,,,,,Bird Rights,4087500
Mario Hezonja\hezonma01,ORL,4078320,5167231,,,,,1st round pick,4078320
Kris Dunn\dunnkr01,CHI,4046760,4221000,5348007,,,,1st Round pick,4046760
Nemanja Bjelica\bjeline01,MIN,3949999,,,,,,MLE,3949999
J.J. Barea\bareajo01,DAL,3903900,3710850,,,,,Cap Space,7614750
Quincy Pondexter\pondequ01,NOP,3853931,,,,,,1st Round Pick,3853931
Lauri Markkanen\markkla01,CHI,3821640,4536120,5300400,6731508,,,1st Round Pick,8357760
Nik Stauskas\stausni01,PHI,3807146,,,,,,1st Round Pick,3807146
Willie Cauley-Stein\caulewi01,SAC,3704160,4696875,,,,,1st round pick,3704160
Buddy Hield\hieldbu01,SAC,3675480,3833760,4861208,,,,1st Round pick,3675480
Will Barton\bartowi01,DEN,3533333,,,,,,Bird Rights,3533333
Noah Vonleh\vonleno01,POR,3505233,,,,,,1st Round Pick,3505233
Frank Ntilikina\ntilila01,NYK,3501120,4155720,4855800,6176578,,,1st Round Pick,7656840
Nene Hilario\hilarne01,HOU,3477600,3651480,3825360,,,,Non-Bird Rights,10954440
Zaza Pachulia\pachuza01,GSW,3477600,,,,,,,3477600
Troy Daniels\danietr01,MEM,3408520,3258540,,,,,Cap Space,6667060
Emmanuel Mudiay\mudiaem01,DEN,3381480,4294480,,,,,1st round pick,3381480
Jamal Murray\murraja01,DEN,3355320,3499800,4444746,,,,1st Round pick,3355320
Elfrid Payton\paytoel01,ORL,3332340,,,,,,1st Round Pick,3332340
Doug McDermott\mcderdo01,OKC,3294994,,,,,,1st Round Pick,3294994
Jodie Meeks\meeksjo01,WAS,3290000,3454500,,,,,Bi-annual Exception,3290000
Rajon Rondo\rondora01,NOP,3290000,,,,,,MLE,3290000
